Review,Star Rating,Valence,Internal Consistency,Review Quality,Objectivity,Sidedness,RIQ Score,RIQ Label,Template Flag,Spam Flag,Credibility
Functionality:salamat seller   Quality:salamat at Hindi scam yong order ko,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
Great sound quality  Perfect for on-the-go use  Easy to use and set up ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Perfect for on-the-go use ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
maam oky na po na tanggap kona po yun order ko po malakas po at maganda ang tonod,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
Great sound quality  Excellent value for money ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Great sound quality ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Perfect for on-the-go use  Great sound quality ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Perfect for on-the-go use  Perfect for on-the-go use ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Functionality:ok   Quality:malakas  Material:cogoro matibay,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
walang kasamang microphone.nakalagay sa box ai may kasamang mic eh,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
Versatile speaker with multiple variations  Great sound quality,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
kuya balik kapo bukas,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
kla ko malaki ...pero ok nmn,5,,,MODERATE,MODERATE,TS,3,Moderate RIQ,0,0,
Quality:good  Material:good  Functionality:good,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
disappointed,5,,,LOW,MODERATE,OS,1,Low RIQ,0,0,
maganda at malakas Ang tunog,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
🎧Sound Quality:good,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
nice,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
🎧Sound Quality:Great sound quality ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Quality:Excellent value for money ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
ganda malakas tunog nya mabilis LNG mag full charge,5,,,MODERATE,HIGH,TS,4,High RIQ,0,0,
Excellent value for money ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Quality:very nice maganda thank you seller,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Very nice❤️,5,,,LOW,MODERATE,OS,1,Low RIQ,0,0,
salamat deliver riader and lazada,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
okay nmn po maganda,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
Excellent value for money  Great sound quality ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
the packaging is not in good condition.  the delivery in on time  so fast to arrived.  👍👍👍👍👍,3,,,HIGH,HIGH,OS,4,High RIQ,0,0,
salamat,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
its good,5,,,LOW,HIGH,OS,2,Moderate RIQ,0,0,
Great sound quality ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Great sound quality ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
dipa dumating ma'am Yung order ko,5,,,LOW,MODERATE,OS,1,Low RIQ,0,0,
goods nice seller legit,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
Great sound quality ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Great sound quality ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
ayos naman ang speaker,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
nice Ang lakas kahit maliit,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
good quality po,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
Quality：,5,,,LOW,LOW,OS,0,Low RIQ,0,0,
not good mabilis malowbatt,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
ang pangit,4,,,LOW,MODERATE,OS,1,Low RIQ,0,0,
Excellent value for money ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
nice,5,,,LOW,MODERATE,OS,1,Low RIQ,0,0,
good 👍👍👍👍👍,5,,,LOW,MODERATE,OS,1,Low RIQ,0,0,
Goods n goods,5,,,LOW,MODERATE,OS,1,Low RIQ,0,0,
Functionality🤔：  Quality:😢  Material:😢,3,,,LOW,LOW,OS,0,Low RIQ,0,0,
Wireless Bluetooth connection  Great sound quality  Stylish design  Easy to use and set up  Versatile speaker with multiple variations  Ang lakas nya ayos na ayos😊sulit Ang 10/10,1,,,HIGH,HIGH,OS,4,High RIQ,1,0,
sira po ung chargung pin... di po ma charge 😭,1,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
no item received but delivered status,1,,,LOW,HIGH,OS,2,Moderate RIQ,0,0,
